Tiempo (s),Voltaje CH1 (V)
0.011999999999999997,-902.1845359715119
0.0121,-902.1845305848183
0.012200000000000003,-902.1845367581825
0.012299999999999998,-902.18452825592
0.012400000000000001,-902.1845376959672
0.012499999999999997,-902.1845316337169
0.0126,-902.1845323270537
0.012700000000000003,-902.1845274470293
0.012800000000000006,-902.184535989292
0.012899999999999995,-902.1845307314857
0.012999999999999998,-902.1845367848493
0.0131,-902.1845282692534
0.013200000000000003,-902.1845376870785
0.013300000000000006,-902.1845317270507
0.013399999999999995,-902.184532104826
0.013499999999999998,-902.1845273848023
0.013600000000000001,-902.1845278203645
0.013700000000000004,-902.1845362292931
0.013800000000000007,-902.1845369670768
0.013899999999999996,-902.1845282292531
0.013999999999999999,-902.1845282203665
0.014100000000000001,-902.1845377804123
0.014200000000000004,-902.1845323937207
0.014300000000000007,-902.1845275670299
0.014399999999999996,-902.1845274514693
0.014499999999999999,-902.1845360781791
0.014600000000000002,-902.1845367004089
0.014700000000000005,-902.1845303581505
0.014799999999999994,-902.184528207033
0.014899999999999997,-902.1845375537465
0.015,-902.1845348737331
0.015100000000000002,-902.1845277270307
0.015200000000000005,-902.1845272914685
0.015299999999999994,-902.184536122626
0.015399999999999997,-902.1845307314857
0.0155,-902.1845367715159
0.015600000000000003,-902.1845279981387
0.015700000000000006,-902.1845377759676
0.015799999999999995,-902.1845351404011
0.015899999999999997,-902.1845315937167
0.016,-902.184527322582
0.016100000000000003,-902.1845360648457
0.016200000000000006,-902.1845307581525
0.016299999999999995,-902.1845365937417
0.016399999999999998,-902.1845366248485
0.0165,-902.1845284870345
0.016600000000000004,-902.1845375670799
0.016700000000000007,-902.1845316070501
0.016799999999999995,-902.1845275003628
0.0169,-902.1845360648457
0.017,-902.1845308648197
0.017100000000000004,-902.1845367492958
0.017200000000000007,-902.1845365092946
0.017299999999999996,-902.1845281092526
0.0174,-902.1845374381859
0.0175,-902.1845315048229
0.017600000000000005,-902.1845272959152
0.017700000000000007,-902.1845362515134
0.017799999999999996,-902.1845307314857
0.0179,-902.1845365759616
0.018000000000000002,-902.1845365270747
0.018100000000000005,-902.184528104806
0.018199999999999994,-902.1845378115231
0.018299999999999997,-902.1845317314907
0.0184,-902.1845274959162
0.018500000000000003,-902.1845360248456
0.018600000000000005,-902.1845306737121
0.018699999999999994,-902.1845366870755
0.018799999999999997,-902.1845366426286
0.0189,-902.1845285092546
0.019000000000000003,-902.1845374870795
0.019100000000000006,-902.1845314870495
0.019199999999999995,-902.1845274114692
0.019299999999999998,-902.1845360470722
0.0194,-902.1845307181524
0.019500000000000003,-902.1845368604097
0.019600000000000006,-902.184536789296
0.019699999999999995,-902.1845280470322
0.019799999999999998,-902.1845377004112
